Kepler-236 c;CONFIRMED;10000;23967936512;180;3290;374700
Kepler-691 b;CONFIRMED;10000;8114374656;210;4600;369200
Kepler-107 e;CONFIRMED;9920;14749148160;289;8740;584700
Kepler-692 b;CONFIRMED;10000;21812959232;338;6390;560100
Kepler-693 b;CONFIRMED;10000;15375624192;1101;6000;498600
Kepler-237 c;CONFIRMED;10000;8103632896;211;6870;486100
Kepler-237 b;CONFIRMED;10000;4715108352;146;8230;486100
Kepler-694 b;CONFIRMED;10000;6365839872;244;9140;577600
Kepler-695 b;CONFIRMED;10000;3040330496;899;10210;503500
Kepler-27 b;CONFIRMED;10000;15335286784;500;6100;525100
Kepler-107 d;CONFIRMED;9980;7958253056;106;10740;584700
Kepler-27 c;CONFIRMED;10000;31330461696;650;4810;525100
Kepler-238 e;CONFIRMED;9990;23653693440;789;7310;573900
Kepler-238 d;CONFIRMED;9960;13233521664;306;8880;573900
Kepler-238 c;CONFIRMED;9970;6155602944;232;11460;573900
Kepler-238 b;CONFIRMED;10000;2090811264;162;16420;573900
Kepler-107 b;CONFIRMED;9950;3180027904;153;14580;584700
Kepler-238 f;CONFIRMED;9890;50446741504;267;5680;573900
Kepler-239 b;CONFIRMED;10000;11763072000;235;6160;495900
Kepler-239 c;CONFIRMED;8780;56227926016;237;3660;495900
Kepler-240 c;CONFIRMED;10000;7953546752;225;6960;476800
Kepler-240 b;CONFIRMED;10000;4144516608;148;8640;476800
Kepler-702 b;CONFIRMED;9990;10526295040;824;7130;538600
Kepler-703 b;CONFIRMED;10000;4583520768;539;10380;581500
Kepler-704 b;CONFIRMED;8760;3761818368;266;11210;565300
Kepler-242 b;CONFIRMED;10000;8203969536;301;7420;501500
Kepler-242 c;CONFIRMED;10000;14496451584;301;6130;501500
NULL;CANDIDATE;10000;6546261504;219;8100;525100
Kepler-241 b;CONFIRMED;10000;12718098432;231;5620;470200
Kepler-241 c;CONFIRMED;9990;36065882112;264;3970;470200
Kepler-696 b;CONFIRMED;10000;4190425600;621;12340;607300
Kepler-697 b;CONFIRMED;10000;3709870848;435;11510;572700
Kepler-698 b;CONFIRMED;10000;16329752576;375;7270;587800
Kepler-699 b;CONFIRMED;9850;27807565824;1384;5540;586200
Kepler-700 b;CONFIRMED;9420;80872349696;759;4520;551000
Kepler-467 b;CONFIRMED;9120;24993243136;229;7120;571800
Kepler-701 b;CONFIRMED;10000;10355331072;247;7770;550100
Kepler-709 b;CONFIRMED;10000;16085189632;368;6130;523900
NULL;CANDIDATE;9980;235998642176;1059;1880;424500
Kepler-245 b;CONFIRMED;10000;7490183168;256;7530;510300
Kepler-245 d;CONFIRMED;10000;36276125696;303;4450;510300
Kepler-245 c;CONFIRMED;10000;17460879360;232;5680;510300
Kepler-705 b;CONFIRMED;9960;56056074240;194;2330;359300
Kepler-706 b;CONFIRMED;9740;41408315392;1138;4530;552200
NULL;CANDIDATE;9940;39748931584;1421;5520;612200
Kepler-243 b;CONFIRMED;10000;5715425792;247;8500;523700
Kepler-108 b;CONFIRMED;9590;49183940608;820;6690;562600
Kepler-243 c;CONFIRMED;9940;20026140672;228;5590;523700
Kepler-707 b;CONFIRMED;10000;2237489664;141;11600;526500
Kepler-708 b;CONFIRMED;10000;3167893504;262;12210;589500
Kepler-244 b;CONFIRMED;10000;4311780352;311;10380;552700
Kepler-244 d;CONFIRMED;10000;20050448384;269;6220;552700
Kepler-244 c;CONFIRMED;10000;9767345152;267;7910;552700
NULL;CANDIDATE;10000;119020707840;898;3660;545300
Kepler-108 c;CONFIRMED;9870;190320050176;778;4260;562600
Kepler-82 b;CONFIRMED;10000;26444392448;391;5620;542700
Kepler-82 c;CONFIRMED;9830;51539980288;551;4500;542700
Kepler-82 e;CONFIRMED;10000;5902245888;243;9260;542700
Kepler-82 d;CONFIRMED;10000;2382951680;186;12530;542700
Kepler-712 b;CONFIRMED;10000;21022507008;307;5210;506700
Kepler-245 e;CONFIRMED;10000;3219814656;169;9980;510300
Kepler-28 b;CONFIRMED;10000;5912273408;173;5850;407200
Kepler-28 c;CONFIRMED;10000;8985819136;165;5090;407200
NULL;CANDIDATE;5730;20545236992;241;7420;567000
Kepler-46 b;CONFIRMED;10000;33601232896;846;4950;514900
Kepler-46 d;CONFIRMED;10000;6766529536;197;8450;514900
Kepler-710 b;CONFIRMED;10000;4347288576;236;11740;575400
Kepler-246 b;CONFIRMED;10000;4601811968;235;8960;498600
Kepler-246 c;CONFIRMED;9970;11187198976;155;6670;498600
NULL;CANDIDATE;10000;4220965888;262;5950;383700
Kepler-81 b;CONFIRMED;10000;5954899968;233;6350;426100
Kepler-81 c;CONFIRMED;10000;12039874560;218;5020;426100
Kepler-81 d;CONFIRMED;9980;20837629952;142;4180;426100
Kepler-711 b;CONFIRMED;10000;23589171200;316;4870;491900
Kepler-109 b;CONFIRMED;10000;6481633280;254;11450;594500
Kepler-716 b;CONFIRMED;10000;10371689472;320;7200;512100
NULL;CANDIDATE;10000;3969963008;178;9920;512100
Kepler-717 b;CONFIRMED;10000;4408413184;266;11390;600700
Kepler-712 c;CONFIRMED;10000;226890481664;453;2360;506700
NULL;CANDIDATE;9970;2688899328;1204;9290;482000
Kepler-247 c;CONFIRMED;10000;9439459328;416;6860;509700
Kepler-95 b;CONFIRMED;10000;11523067904;313;9270;564400
Kepler-247 b;CONFIRMED;10000;3336123136;174;9700;509700
Kepler-54 b;CONFIRMED;10000;8010784768;172;4530;371300
Kepler-54 c;CONFIRMED;10000;12071342080;129;3950;371300
Kepler-54 d;CONFIRMED;9860;20995878912;130;3280;371300
Kepler-713 b;CONFIRMED;10000;7411131904;245;9050;584900
Kepler-75 b;CONFIRMED;9990;8884923392;1051;7700;533200
Kepler-714 b;CONFIRMED;10000;8098889216;895;9860;621400
Kepler-715 b;CONFIRMED;10000;10006530048;352;8760;606300
Kepler-448 b;CONFIRMED;6350;17855221760;1316;9110;682300
NULL;CANDIDATE;10000;12732623872;487;4320;395000
NULL;CANDIDATE;9660;83924942848;478;2260;396000
Kepler-719 b;CONFIRMED;10000;5007316480;696;9980;586500
Kepler-55 d;CONFIRMED;10000;2211117056;185;9310;450000
Kepler-55 b;CONFIRMED;9970;27954132992;190;4000;450000
Kepler-110 b;CONFIRMED;4150;12691044352;257;10080;586900
Kepler-248 c;CONFIRMED;10000;16239470592;414;5980;519100
Kepler-248 b;CONFIRMED;10000;6308201472;296;8190;519100
Kepler-718 b;CONFIRMED;10000;2052349824;1312;14970;585500
Kepler-83 b;CONFIRMED;10000;9770448896;223;4600;390600
Kepler-83 d;CONFIRMED;10000;5169804288;166;5690;390600
Kepler-109 c;CONFIRMED;10000;21222610944;248;7710;594500
Kepler-83 c;CONFIRMED;10000;20090171392;225;3620;390600
Kepler-249 c;CONFIRMED;9990;7113732608;116;4290;356100
Kepler-249 b;CONFIRMED;9990;3306551552;91;5540;356100
Kepler-249 d;CONFIRMED;9980;15368457216;111;3320;356100
NULL;CANDIDATE;10000;13810203648;456;8330;594200
Kepler-722 b;CONFIRMED;10000;4093578496;285;11820;607700
Kepler-722 c;CONFIRMED;9990;105145958400;343;4010;607700
Kepler-252 c;CONFIRMED;10000;10848451584;234;4990;420100
Kepler-252 b;CONFIRMED;10000;6668332544;118;5870;420100
Kepler-723 b;CONFIRMED;9970;4082274816;1055;10160;565500
NULL;CANDIDATE;10000;3886655232;187;10100;566200
Kepler-55 c;CONFIRMED;10000;42140610560;185;3490;450000
Kepler-55 e;CONFIRMED;10000;4617490432;162;7280;450000
Kepler-55 f;CONFIRMED;9960;10198492160;175;5590;450000
Kepler-250 c;CONFIRMED;10000;7156815360;247;7820;502900
Kepler-250 d;CONFIRMED;10000;17648308224;243;5790;502900
Kepler-250 b;CONFIRMED;9570;4148107264;108;9380;502900
Kepler-251 c;CONFIRMED;10000;16514109440;272;6550;552700
Kepler-251 d;CONFIRMED;10000;30132930560;314;5360;552700
Kepler-251 b;CONFIRMED;10000;4790907904;136;9900;552700
